temperature	V(ntc)
5.360000000000764e+01	3.149755e-01
5.370000000000766e+01	3.142787e-01
5.380000000000769e+01	3.135831e-01
5.390000000000771e+01	3.128886e-01
5.400000000000773e+01	3.121954e-01
5.410000000000775e+01	3.115032e-01
5.420000000000778e+01	3.108123e-01
5.430000000000780e+01	3.101225e-01
5.440000000000782e+01	3.094339e-01
5.450000000000784e+01	3.087465e-01
5.460000000000787e+01	3.080602e-01
5.470000000000789e+01	3.073751e-01
5.480000000000791e+01	3.066912e-01
5.490000000000794e+01	3.060084e-01
5.500000000000796e+01	3.053269e-01
5.510000000000798e+01	3.046465e-01
5.520000000000800e+01	3.039673e-01
5.530000000000803e+01	3.032892e-01
5.540000000000805e+01	3.026124e-01
5.550000000000807e+01	3.019367e-01
5.560000000000809e+01	3.012622e-01
5.570000000000812e+01	3.005888e-01
5.580000000000814e+01	2.999167e-01
5.590000000000816e+01	2.992457e-01
5.600000000000819e+01	2.985760e-01
5.610000000000821e+01	2.979074e-01
5.620000000000823e+01	2.972399e-01
5.630000000000825e+01	2.965737e-01
5.640000000000828e+01	2.959086e-01
5.650000000000830e+01	2.952448e-01
5.660000000000832e+01	2.945820e-01
5.670000000000834e+01	2.939205e-01
5.680000000000837e+01	2.932602e-01
5.690000000000839e+01	2.926010e-01
5.700000000000841e+01	2.919431e-01
5.710000000000844e+01	2.912863e-01
5.720000000000846e+01	2.906307e-01
5.730000000000848e+01	2.899763e-01
5.740000000000850e+01	2.893230e-01
5.750000000000853e+01	2.886710e-01
5.760000000000855e+01	2.880201e-01
5.770000000000857e+01	2.873704e-01
5.780000000000859e+01	2.867219e-01
5.790000000000862e+01	2.860746e-01
5.800000000000864e+01	2.854285e-01
5.810000000000866e+01	2.847836e-01
5.820000000000869e+01	2.841398e-01
5.830000000000871e+01	2.834972e-01
5.840000000000873e+01	2.828558e-01
5.850000000000875e+01	2.822156e-01
5.860000000000878e+01	2.815766e-01
5.870000000000880e+01	2.809388e-01
5.880000000000882e+01	2.803021e-01
5.890000000000884e+01	2.796667e-01
5.900000000000887e+01	2.790324e-01
5.910000000000889e+01	2.783993e-01
5.920000000000891e+01	2.777674e-01
5.930000000000894e+01	2.771367e-01
5.940000000000896e+01	2.765071e-01
5.950000000000898e+01	2.758788e-01
5.960000000000900e+01	2.752516e-01
5.970000000000903e+01	2.746256e-01
5.980000000000905e+01	2.740008e-01
5.990000000000907e+01	2.733772e-01
6.000000000000909e+01	2.727547e-01
6.010000000000912e+01	2.721334e-01
6.020000000000914e+01	2.715134e-01
6.030000000000916e+01	2.708945e-01
6.040000000000919e+01	2.702768e-01
6.050000000000921e+01	2.696602e-01
6.060000000000923e+01	2.690449e-01
6.070000000000925e+01	2.684307e-01
6.080000000000928e+01	2.678177e-01
6.090000000000930e+01	2.672059e-01
6.100000000000932e+01	2.665953e-01
6.110000000000935e+01	2.659858e-01
6.120000000000937e+01	2.653776e-01
6.130000000000939e+01	2.647705e-01
6.140000000000941e+01	2.641646e-01
6.150000000000944e+01	2.635598e-01
6.160000000000946e+01	2.629563e-01
6.170000000000948e+01	2.623539e-01
6.180000000000950e+01	2.617527e-01
6.190000000000953e+01	2.611527e-01
6.200000000000955e+01	2.605538e-01
6.210000000000957e+01	2.599562e-01
6.220000000000960e+01	2.593597e-01
6.230000000000962e+01	2.587643e-01
6.240000000000964e+01	2.581702e-01
6.250000000000966e+01	2.575772e-01
6.260000000000969e+01	2.569854e-01
6.270000000000971e+01	2.563948e-01
6.280000000000973e+01	2.558053e-01
6.290000000000975e+01	2.552170e-01
6.300000000000978e+01	2.546299e-01
6.310000000000980e+01	2.540439e-01
6.320000000000982e+01	2.534592e-01
6.330000000000985e+01	2.528755e-01
6.340000000000987e+01	2.522931e-01
6.350000000000989e+01	2.517118e-01
6.360000000000991e+01	2.511317e-01
6.370000000000994e+01	2.505527e-01
6.380000000000996e+01	2.499750e-01
6.390000000000998e+01	2.493983e-01
6.400000000001000e+01	2.488229e-01
6.410000000001003e+01	2.482486e-01
6.420000000001005e+01	2.476755e-01
6.430000000001007e+01	2.471035e-01
6.440000000001010e+01	2.465327e-01
6.450000000001012e+01	2.459630e-01
6.460000000001014e+01	2.453945e-01
6.470000000001016e+01	2.448272e-01
6.480000000001019e+01	2.442610e-01
6.490000000001021e+01	2.436960e-01
6.500000000001023e+01	2.431321e-01
6.510000000001025e+01	2.425694e-01
6.520000000001028e+01	2.420079e-01
6.530000000001030e+01	2.414475e-01
6.540000000001032e+01	2.408882e-01
6.550000000001035e+01	2.403301e-01
6.560000000001037e+01	2.397732e-01
6.570000000001039e+01	2.392174e-01
6.580000000001041e+01	2.386627e-01
6.590000000001044e+01	2.381092e-01
6.600000000001046e+01	2.375569e-01
6.610000000001048e+01	2.370057e-01
6.620000000001050e+01	2.364556e-01
6.630000000001053e+01	2.359067e-01
6.640000000001055e+01	2.353589e-01
6.650000000001057e+01	2.348122e-01
6.660000000001060e+01	2.342667e-01
6.670000000001062e+01	2.337224e-01
6.680000000001064e+01	2.331792e-01
6.690000000001066e+01	2.326371e-01
6.700000000001069e+01	2.320961e-01
6.710000000001071e+01	2.315563e-01
6.720000000001073e+01	2.310177e-01
6.730000000001075e+01	2.304801e-01
6.740000000001078e+01	2.299437e-01
6.750000000001080e+01	2.294084e-01
6.760000000001082e+01	2.288743e-01
6.770000000001085e+01	2.283413e-01
6.780000000001087e+01	2.278094e-01
6.790000000001089e+01	2.272786e-01
6.800000000001091e+01	2.267490e-01
6.810000000001094e+01	2.262205e-01
6.820000000001096e+01	2.256931e-01
6.830000000001098e+01	2.251668e-01
6.840000000001100e+01	2.246417e-01
6.850000000001103e+01	2.241177e-01
6.860000000001105e+01	2.235948e-01
6.870000000001107e+01	2.230730e-01
6.880000000001110e+01	2.225523e-01
6.890000000001112e+01	2.220328e-01
6.900000000001114e+01	2.215144e-01
6.910000000001116e+01	2.209970e-01
6.920000000001119e+01	2.204808e-01
6.930000000001121e+01	2.199657e-01
6.940000000001123e+01	2.194517e-01
6.950000000001125e+01	2.189389e-01
6.960000000001128e+01	2.184271e-01
6.970000000001130e+01	2.179164e-01
6.980000000001132e+01	2.174069e-01
6.990000000001135e+01	2.168984e-01
7.000000000001137e+01	2.163910e-01
7.010000000001139e+01	2.158848e-01
7.020000000001141e+01	2.153796e-01
7.030000000001144e+01	2.148756e-01
7.040000000001146e+01	2.143726e-01
7.050000000001148e+01	2.138708e-01
7.060000000001151e+01	2.133700e-01
7.070000000001153e+01	2.128703e-01
7.080000000001155e+01	2.123717e-01
7.090000000001157e+01	2.118742e-01
7.100000000001160e+01	2.113778e-01
7.110000000001162e+01	2.108825e-01
7.120000000001164e+01	2.103883e-01
7.130000000001166e+01	2.098951e-01
7.140000000001169e+01	2.094031e-01
7.150000000001171e+01	2.089121e-01
7.160000000001173e+01	2.084222e-01
7.170000000001176e+01	2.079334e-01
7.180000000001178e+01	2.074457e-01
7.190000000001180e+01	2.069590e-01
7.200000000001182e+01	2.064734e-01
7.210000000001185e+01	2.059889e-01
7.220000000001187e+01	2.055055e-01
7.230000000001189e+01	2.050231e-01
7.240000000001191e+01	2.045418e-01
7.250000000001194e+01	2.040616e-01
7.260000000001196e+01	2.035824e-01
7.270000000001198e+01	2.031043e-01
7.280000000001201e+01	2.026273e-01
7.290000000001203e+01	2.021513e-01
7.300000000001205e+01	2.016764e-01
7.310000000001207e+01	2.012026e-01
7.320000000001210e+01	2.007298e-01
7.330000000001212e+01	2.002581e-01
7.340000000001214e+01	1.997874e-01
7.350000000001216e+01	1.993178e-01
7.360000000001219e+01	1.988492e-01
7.370000000001221e+01	1.983817e-01
7.380000000001223e+01	1.979153e-01
7.390000000001226e+01	1.974498e-01
7.400000000001228e+01	1.969855e-01
7.410000000001230e+01	1.965221e-01
7.420000000001232e+01	1.960599e-01
7.430000000001235e+01	1.955986e-01
7.440000000001237e+01	1.951384e-01
7.450000000001239e+01	1.946793e-01
7.460000000001241e+01	1.942212e-01
7.470000000001244e+01	1.937641e-01
